Vmag,Plx,e_Plx,B-V,SpType,Amag
7.68,11.92,0.92,0.876,K0,18.061381277021088
9.69,4.1,1.65,0.939,K1,17.753919283598677
7.67,3.29,0.89,-0.046,B2.5Vn,15.255979489749873
8.32,2.14,0.97,1.506,K4III,14.972068866745955
7.34,24.76,0.86,0.547,F8,19.3087532017404
9.4,4.68,1.27,1.0,K0,17.75122926537062
8.62,14.22,1.17,0.756,G8III,19.384497981968735
8.26,8.11,1.06,0.409,F0,17.805104271055782
8.94,10.96,1.2,0.762,G5,19.13905277074175
8.82,3.49,1.32,0.541,F5V,16.5341271347959
10.65,6.62,1.83,0.54,sdF7::,19.7542899471985
8.11,5.65,1.7,0.52,F5IV,16.870242239097195
8.27,1.48,1.15,1.388,K3III,14.121308576974787
8.47,4.18,0.9,0.321,A2,16.575881408875176
8.22,0.21,0.94,0.108,A2,9.831096473669596
8.84,1.38,1.12,1.009,K2,14.539395432006183
9.1,1.06,1.34,0.082,A0,14.22652932632385
7.95,1.76,1.06,1.631,K5,14.177563339070751
9.67,2.45,1.51,1.249,K1III,16.615830421822665
8.1,3.04,0.97,1.022,G5,15.514367918043769
9.43,16.47,2.47,0.668,K0V,20.51346799584877
8.14,2.53,1.06,1.068,G5,15.155602605879091
7.66,3.87,0.88,0.034,A0,15.598554825094556
9.34,3.04,1.45,0.856,G5III,16.75436791804377
11.42,-6.63,3.8,0.041,A0Ia,20.527567642023868
12.63,11.17,3.61,-0.241,B,22.870265865578048
5.59,5.19,0.77,1.185,K1III,14.16583678924229
6.86,6.5,0.83,0.897,G8III-IV,15.924566783214278
6.91,22.23,0.64,0.65,G1/G2V,18.64469731349495
8.1,8.78,1.08,0.41,F2V,17.817472579530513
7.87,13.85,1.51,0.558,F5,18.577248867002336
7.66,1.53,0.99,1.405,K3III,13.583457154087995
9.09,7.29,1.21,0.601,F5,18.403637641589874
7.53,1.32,0.87,1.57,K0,13.13286965602925
9.09,4.11,1.26,0.386,F,17.159209109380345
8.93,4.14,1.24,0.353,F0V,17.015001705604497
8.78,6.93,1.71,0.429,F5V,17.983666173059035
9.5,1.51,1.35,0.255,B9,15.394884736465848
8.85,5.93,1.14,0.516,F8,17.715273466821312
8.47,2.28,1.0,1.537,K5III,15.259674235002269
7.87,2.06,1.09,0.982,G5,14.439336101845768
6.48,3.54,0.75,1.099,G5,14.22501631012894
8.79,3.0,1.34,0.293,A5,16.175606273598312
8.96,7.52,1.29,0.574,F5,18.341089202958212
6.67,2.8,1.06,0.019,B9,13.905790156711095
8.86,2.9,1.31,1.138,K2,16.17198998949478
8.91,2.14,1.06,1.072,K0,15.562068866745955
9.13,1.79,1.38,1.259,K2,15.394265154899468
7.76,5.33,0.71,1.095,K1III,16.39363604513286
6.61,13.28,0.79,0.905,K0IIICNIV,17.225990375159995
8.95,8.28,0.99,0.473,F2,18.5401516839244
7.22,2.85,0.85,1.618,K2,14.49422430004255
8.19,5.84,1.01,1.085,K0,17.022064235562
8.85,0.72,1.31,0.836,G5,13.136662482156343
9.66,3.53,1.48,0.47,F2V,17.398873526939113
7.77,4.14,0.69,0.399,F5,15.855001705604495
6.47,11.76,0.87,1.184,K2/K3III,16.8220366087006
8.49,6.95,0.73,0.456,F3/F5IV/V,17.69992402295057
8.42,1.43,1.09,1.218,K0,14.19668018732531
7.75,6.33,0.99,0.86,G0,16.757018550086777
8.41,5.88,0.88,0.341,F0V,17.25688663038069
7.83,7.81,0.97,0.954,G5,17.2932551693865
7.94,13.98,0.87,0.407,F3V,18.667535857048314
8.94,1.65,1.04,1.157,K5,15.027419721069531
6.71,13.94,0.9,0.783,G8IV,17.431313868809955
8.9,6.08,1.0,0.459,G0,17.819517896363674
6.77,1.79,0.72,0.28,A2,13.034265154899465
7.73,11.21,0.9,0.389,F5,17.978028062974865
8.87,2.95,1.22,1.3,K5,16.219110079890815
10.14,2.5,1.63,0.516,F5/F6V,17.129700043360188
8.23,16.58,1.07,0.626,G5V,19.327922631071274
8.19,4.73,0.91,0.42,F0,16.564305703689058
8.12,5.94,1.05,1.172,K1III,16.988932224905966
8.39,2.57,0.9,1.05,K0IV,15.439665616656473
9.75,4.53,1.55,0.354,F0V,18.03049101006416
8.03,6.42,0.92,0.469,F8,17.067675140344264
8.7,4.63,0.82,0.877,G8IV,17.027904955089767
8.6,5.09,1.37,0.448,F3V,17.133588911683795
8.9,4.39,1.91,0.2,F8,17.112322601210607
10.49,32.06,2.18,1.226,K5V,23.019817590090632
7.6,9.44,1.08,0.492,F6V,17.474859971490346
8.44,9.13,1.12,0.289,F0V,18.242353887671495
8.98,1.08,1.13,1.257,G8/K0III:,14.147118777434748
8.12,4.45,0.85,0.436,F0III,16.361800054904656
6.12,8.86,0.55,0.935,G8III,15.857168609435256
8.33,10.9,0.94,0.598,G0/G1V,18.51713248970312
9.61,6.01,1.33,0.523,F7V,18.504372360013697
8.27,12.5,1.0,0.577,G3V,18.75455006504028
7.55,4.5,0.89,1.088,G5,15.816062568876717
6.71,6.94,0.71,1.109,K1III,15.916797352274273
9.07,6.72,1.03,0.543,F6V,18.20684636526913
8.1,3.13,1.06,1.107,K0III,15.577721687732241
8.81,5.55,1.17,0.511,F6/F7V,17.531464915613384
8.64,2.92,1.12,1.044,G5,15.966914257242092
7.79,5.54,0.82,0.334,F2V,16.50754882364215
9.13,2.03,1.14,1.206,K2,15.667480189566065
8.82,6.68,1.25,0.525,G0,17.94388231237773
7.79,2.2,1.13,1.357,K0,14.502113404111032
6.9,4.84,0.54,0.01,G8III,15.324226808222063
6.48,5.16,0.8,0.122,A3V,15.043248508136056
10.06,46.22,4.48,1.365,K7V,23.38414970571545
9.55,0.38,1.3,1.389,K5,12.448917983084051
8.62,2.91,0.96,0.918,G8III/IV,15.939464944929536
9.66,11.5,2.29,0.69,G5V,19.96348920176806
8.16,46.61,1.61,1.008,K2,21.50239551466293
7.79,3.69,0.92,1.157,K1III,15.6251318307953
9.93,0.59,1.48,0.094,A0,13.784260058210721
5.5,14.39,0.73,0.083,A1/A2IV,16.290303969683027
9.0,-0.32,1.35,-0.033,A0,11.525749891599531
9.34,0.7,1.37,1.171,K2,13.565490200071284
7.91,31.35,1.28,0.799,K0V,20.391187725833678
8.49,7.71,1.05,0.45,F8,17.925271890254784
9.98,122.77,1.23,1.501,M3.5e,25.425461279213597
7.08,9.25,0.81,0.287,F0,16.91070866369516
9.95,6.35,1.83,0.82,G0,18.963868626459877
10.08,7.65,1.6,0.831,G5,19.49830717576809
9.38,2.68,1.17,0.068,A2V,16.520673970143946
8.37,1.17,1.13,0.282,A2,13.710929308730808
7.92,6.85,1.02,0.305,A5,17.098452857462128
8.46,15.3,0.88,0.619,G1V,19.383457154087996
8.55,5.05,1.14,0.302,A5,17.066456890593308
8.91,0.22,1.13,1.002,G5,10.622113404111031
9.02,3.68,1.21,0.96,G8IV,16.849239093367586
6.88,22.39,0.87,0.448,F7V,18.630270467895148
7.24,1.96,0.57,1.39,K2IICNp...,13.70128035678238
7.83,1.92,0.86,1.481,K2V,14.246506143517749
9.37,6.49,1.73,0.772,G8IV/V,18.431223484001848
9.56,99.44,1.39,1.463,K5V...,24.54780557816794
8.58,5.13,0.91,1.29,K3III,17.13058682555908
9.84,22.04,1.68,0.919,K2V,21.556057950898737
7.39,1.54,0.84,0.033,A0,13.327603604182315
9.64,5.79,1.32,0.519,F6V,18.453392818637184
6.83,16.55,0.78,0.498,F5,17.923989990558688
6.25,4.06,0.6,1.634,M2III,14.29263016788597
8.69,2.19,0.8,1.126,K0/K1III,15.392220574200591
8.57,2.27,1.08,0.818,G5,15.350129285965615
7.7,20.35,0.78,0.591,G0V,19.242822067806195
9.07,1.75,1.24,1.705,K5,15.285190243431472
9.4,5.37,1.25,0.432,F5,18.049871428497777
9.13,6.73,1.26,0.526,F5V,18.270075321119883
9.52,11.43,1.69,0.77,G5,19.810231151976406
8.54,6.06,1.1,0.397,F0,17.45236312083143
8.02,4.7,1.92,0.07,A0,16.380489289678586
5.5,7.87,0.68,-0.043,B9.5V,14.979873661795322
5.39,13.86,0.61,0.9,G8III,16.09881615137894
7.83,1.23,1.04,-0.018,A0,13.27952555719699
8.52,16.88,1.07,0.572,G5V,19.65686221144818
7.21,14.49,0.94,0.406,F3V,18.015341927355873
7.25,3.65,0.77,0.914,K0,15.061464322282372
9.4,9.99,1.31,0.598,G5V,19.397827441129913
8.8,2.51,1.09,0.17,B8II,15.798368607405191
8.19,3.68,0.88,1.138,K1IIICN...,16.019239093367588
10.81,24.14,2.69,1.47,M0,22.72368632880665
8.4,2.56,1.05,1.019,G8III/IV,15.441199826559249
7.8,2.77,0.99,1.208,K2III,15.012398845322242
6.84,0.89,1.3,-0.019,B5,11.586950033224564
5.95,9.49,0.86,0.161,A5m,15.836331062136463
8.29,14.9,0.85,0.543,F8,19.15593134206137
8.49,2.8,1.0,1.005,G8III,15.725790156711096
4.27,17.14,0.81,0.952,K0III,15.440054087935897
7.67,38.73,0.78,0.756,G5,20.610237484930416
8.16,0.89,1.0,1.565,K5,12.906950033224565
8.52,18.29,1.35,0.649,G0,19.831068527382083
8.61,2.9,1.1,1.337,K3III,15.92198998949478
6.46,9.68,1.01,0.248,A9V,16.38937678654197
8.56,2.67,1.22,1.04,K0,15.692556306822876
8.44,2.82,1.02,-0.004,A0,15.691245541596803
5.4,7.95,0.86,1.106,K0III-IV,14.901835643282352
8.05,2.55,0.91,1.078,K0,15.082700902169776
8.03,3.0,0.75,0.115,A0,15.41560627359831
8.95,8.88,1.23,0.625,G2V,18.692064828893002
7.39,0.43,0.93,1.53,M0,10.557342277897932
8.09,1.04,0.96,0.013,B5,13.175166696493902
9.53,2.71,1.28,1.387,K2V:,16.694846454372026
9.59,3.26,1.37,0.407,F2V,17.156088000339693
8.75,2.05,1.45,0.944,G5,15.308769305278771
9.05,0.92,0.92,1.588,K5,13.868939136727777
8.98,0.78,1.4,1.6,K5/M0III,13.440473013452403
8.68,9.91,1.15,0.45,F2V,18.660368272426375
7.96,4.48,0.69,1.07,G8/K0III,16.21639006999072
9.1,2.01,1.08,0.081,A0,15.615980287102444
11.36,61.23,5.26,1.59,M,25.294821297178665
9.41,3.28,1.5,1.066,K2,16.989369218558394
7.99,3.39,1.31,0.983,G8IV,15.640998491015411
9.01,-1.8,1.34,1.547,M0,15.28636252551653
6.28,8.93,0.9,0.932,G8IIICN...,16.03425729444273
6.81,12.44,1.11,0.48,F5V,17.284101901773997
8.09,1.94,1.05,0.821,G:w...,14.52900864965113
6.99,1.98,0.75,1.59,M3III,13.473325951307656
9.29,5.16,1.35,0.4,F0V,17.853248508136055
7.69,3.98,0.96,1.143,G5,15.68941536036844
7.53,2.76,0.86,1.468,K3III,14.734545410326088
9.25,1.18,1.17,1.403,K3III,14.609410036530626
9.56,10.04,1.56,0.528,F8,19.568668564045005
8.4,3.24,1.51,0.379,F5,15.95272505103306
10.54,3.24,2.12,0.54,G0,18.09272505103306
8.85,3.69,1.01,0.388,F5,16.6851318307953
7.96,-0.24,0.93,1.591,K2,9.86105620855803
8.96,0.66,1.23,1.655,K5,13.057719677709343
9.08,5.41,1.2,0.333,A3,17.745986325532847
8.67,3.43,1.19,1.015,K0,16.346470600213852
8.03,3.64,0.98,0.034,A0,15.83550691824528
9.2,11.52,1.55,0.665,G3V,19.507262395435966
7.8,11.18,0.99,0.775,G0,18.042209017752022
9.08,3.46,1.27,0.063,A0,16.775380493963883
9.75,15.12,1.49,0.814,G8IV,20.64775895582594
9.27,6.03,1.22,0.829,B8,18.171586560700757
9.01,2.09,1.23,1.96,K5V,15.61073143055527
8.16,9.03,1.02,0.418,F0,17.938438751567528
8.86,14.08,1.18,0.552,G2Vw...,19.603013274030467
8.98,3.54,1.3,0.569,F7V,16.72501631012894
8.6,2.45,1.22,0.741,G5IIIm,15.545830421822663
5.92,2.16,0.87,0.512,F0II,12.592268755754654
6.75,2.8,0.73,1.688,K5,13.985790156711097
8.14,9.72,1.32,0.56,G0,18.078331324631375
11.62,9.66,17.61,1.124,K:,21.544885632077467
6.74,6.67,0.56,0.246,F5,15.860629169582745
8.44,22.56,0.73,0.6,G5,20.206695476556526
7.74,4.51,1.07,0.337,A5,16.010882709389804
10.02,5.8,1.46,0.787,K0,18.837139967814686
8.69,0.2,1.0,-0.157,F5,10.195149978319906
8.22,3.08,2.82,0.064,A0,15.662753582502223
8.84,8.04,1.01,0.412,F3V,18.366280243742256
8.54,1.4,0.69,-0.035,B8III,14.27064017839119
8.78,11.36,5.31,0.529,F5/F6V,19.056891656875
8.86,1.8,1.21,1.207,K2,15.13636252551653
9.44,8.7,2.87,0.714,G5,19.137596263093094
8.26,4.01,1.09,1.194,K2III/IV,16.275721863100912
7.07,6.93,1.14,0.094,A0,16.273666173059034
10.16,3.25,1.61,0.692,G1,17.719416804894372
6.06,17.66,0.72,0.271,F1V,17.29495349620775
9.11,17.37,1.27,0.577,G3V,20.308999092235492
8.1,3.67,0.89,1.05,G5,15.923330321260446
6.82,1.13,0.79,-0.055,B2IV-V,12.085392217417098
9.75,5.84,1.26,0.498,F8,18.582064235561997
7.03,5.43,1.12,0.147,A3III/IV,15.703999147944234
10.21,-0.78,1.7,0.912,G2,14.670473013452403
7.69,6.32,0.95,1.238,K0,16.693585391411926
8.42,2.18,1.09,0.979,G5,15.112282468023025
7.19,16.66,0.89,0.442,F8,18.298374985353846
7.2,2.67,1.03,0.232,A3,14.332556306822877
8.71,1.47,1.0,1.259,K2/K3III,14.546586673740881
8.93,2.28,1.26,1.071,K0,15.71967423500227
9.01,2.93,1.29,0.101,A2V,16.344338101770546
7.92,4.14,1.01,1.12,G5,16.005001705604496
9.24,1.13,1.21,-0.062,B9V,14.5053922174171
9.19,0.18,1.28,1.647,K5,10.46636252551653
7.28,11.96,0.84,0.446,F5V,17.66865589826196
5.99,3.29,0.69,1.447,K2,13.575979489749873
9.1,2.83,1.15,0.356,F0,16.35893217762145
8.26,0.72,1.04,0.47,B1Ibp,12.546662482156343
9.35,2.9,1.42,0.042,A0,16.661989989494778
7.14,2.38,0.82,1.655,M3III,14.02288478528256
9.9,3.39,1.57,0.499,F5V,17.550998491015413
10.25,16.28,1.76,0.764,G5IV,21.30827200276591
7.74,4.57,0.92,1.032,K0,16.03958100034925
8.78,6.96,1.14,0.432,F5V,17.99304619805281
8.26,4.64,2.05,0.96,G2V SB,16.592589902774407
9.4,2.55,1.08,0.308,A0,16.432700902169778
8.75,6.82,1.12,0.851,G8V,17.918921873282393
9.33,5.81,1.28,0.531,F5V,18.150880661951653
8.24,13.66,0.92,0.489,F8,18.917253496727568
7.04,5.52,0.75,1.017,G8II-III,15.749695388645996
9.25,8.33,1.14,0.698,G3V,18.853225007033938
8.61,0.99,1.03,0.444,B8II,13.588175972987749
6.84,16.06,0.71,0.528,G0,17.868727704713308
8.18,3.13,0.89,1.486,K5,15.657721687732241
11.56,17.76,2.65,1.61,M0,22.80721480721291
8.97,6.02,1.26,0.481,F5V,17.86798245628912
8.92,6.21,1.18,0.843,G8III,17.8854580008829
5.83,12.47,0.63,0.569,F6V,16.309332267392712
8.96,5.2,1.26,0.611,G2V,17.540016718173995
12.06,9.3,3.7,-0.242,B,21.90241474276968
8.23,7.28,0.98,0.337,F2,17.54065689656519
8.51,8.56,1.02,0.54,G0,18.172368823385767
6.84,2.47,0.73,1.596,M1III,13.803484766298329
9.78,38.99,1.88,1.194,K4/K5V,22.734766175939928
7.97,9.31,1.04,0.321,F0,17.814748404906712
7.54,4.23,0.82,0.086,B9,15.671701836875211
9.96,-0.79,1.91,0.388,F0V,14.448135456452208
9.15,25.48,1.14,0.801,G5,21.180997118316565
8.73,3.91,1.12,0.563,F8,16.690883786979335
6.2,23.82,0.87,0.443,F7IV-V,18.084708785733792
8.53,7.56,1.14,0.307,A2,17.92260897750603
8.75,4.47,1.83,0.505,F5/F6V,17.001537615659682
8.91,2.73,1.14,1.095,G5,16.090813235203782
8.95,1.64,0.91,1.592,M2/M3III,15.024219240238489
8.17,3.41,0.78,1.014,G8,15.833771894962489
8.79,6.71,1.16,0.831,G5,17.92361260084496
10.02,34.39,1.68,1.28,K5,22.702160879110068
6.44,6.3,2.07,1.071,K0III,15.436702747267908
7.61,3.45,0.66,1.185,K1/K2III,15.299095475366371
9.58,4.86,3.34,1.011,K0,18.01318134631147
6.77,11.85,0.88,0.328,F0Vn,17.138591751730615
8.24,11.53,1.14,0.52,F6V,18.549146536473494
8.44,10.4,0.98,0.538,F8,18.5251666964939
8.21,3.75,0.99,1.151,K0,16.080156338638595
9.52,3.61,1.37,0.448,F8,17.307536009528288
8.83,2.37,1.62,1.083,G8III/IV,15.70374173005052
9.42,6.37,2.74,0.519,F6V,18.440697161676752
8.27,1.73,1.11,0.956,G5,14.460230515643977
9.49,2.34,1.22,1.015,K0,16.336079287050715
7.72,24.8,0.89,0.613,G3IV,19.692258404131078
7.07,1.68,0.86,1.607,K2,13.196546408629315
9.46,2.1,1.54,0.58,G2V,16.0710964736696
10.71,4.07,1.91,0.665,G0,18.7579720461261
9.35,1.11,1.11,1.022,K0III,14.576614893933288
9.19,7.22,1.27,0.596,G3V,18.482685987848193
7.21,7.72,0.84,1.195,K0,16.64808650167868
8.97,13.64,1.3,0.564,F7V,19.6440718516023
6.53,3.06,0.76,-0.081,B3V,13.958607132407902
8.47,7.03,1.06,0.402,F2V,17.70477662509912
8.99,6.49,1.5,0.45,F2,18.051223484001845
9.4,6.3,1.42,0.51,F8V,18.39670274726791
8.19,2.95,0.66,0.073,A1V,15.539110079890815
7.92,3.83,0.83,0.186,A0,15.835993869843115
7.5,8.63,1.04,0.488,F5/F6V,17.180053978576048
8.98,1.85,1.41,1.217,K1III,15.315858642015069
6.82,2.09,0.61,0.044,A0,13.420731430555271
7.7,8.57,0.96,1.084,G5,17.364904109615992
8.62,4.02,1.13,1.018,G5,16.641130265422348
7.93,13.07,1.1,0.543,F8,18.511377937902722
6.03,4.52,0.87,1.525,K5III,14.305692174056912
7.2,3.12,0.91,1.673,M2III,14.670772970092216
10.44,1.95,1.82,0.486,F7,16.89017305681259
9.81,2.02,1.11,0.312,A0,16.33675684723312
7.77,10.25,0.91,0.403,F5,17.823619326958863
10.79,0.55,2.43,0.594,G0,14.49181344747122
7.3,3.27,1.06,1.078,K0III,14.872738763301431
5.64,18.28,0.79,0.42,F4II-III,16.949880956989066
7.37,4.22,0.67,1.086,K3III,15.49656225480837
8.7,4.38,1.24,1.1,K0,16.907370552520497
7.86,3.81,0.92,0.941,G8III,15.764624878378097
7.37,4.73,0.58,1.08,K0III,15.744305703689058
8.09,8.42,0.83,0.453,F5V,17.716560457498247
9.22,3.83,1.45,0.864,G6IV,17.135993869843116
9.65,3.68,1.44,0.975,K0,17.47923909336759
9.02,0.78,1.27,1.053,K0,13.480473013452402
8.91,3.21,1.35,0.37,F0V,16.44252516202436
7.44,2.43,0.89,1.567,M...,14.368031367991561
10.59,0.57,1.64,0.0,A0,14.369374278362457
8.58,2.87,1.95,0.233,A2/A3m...,15.869409483669962
7.82,2.43,0.71,0.182,A5V,14.748031367991562
11.23,10.74,2.25,1.106,K4.5,21.385021406817685
9.19,2.19,1.34,0.282,A9V,15.892220574200591
9.3,10.02,1.27,0.449,F5Vw...,19.304338607656135
9.78,9.26,1.19,0.617,G3/G5V,19.61305493340967
7.18,18.21,0.82,0.421,F3V,18.4815497289746
11.16,5.46,6.54,0.264,WN2,19.84596321352369
8.82,6.65,1.12,1.199,K0,17.934108226515523
8.76,2.22,1.13,1.243,G5,15.491764872253192
7.92,2.03,1.02,1.134,G5,14.457480189566065
7.65,1.89,0.99,0.785,G3V,14.03230902086622
7.89,1.59,1.03,1.375,K2III,13.896985621602258
8.29,18.19,0.98,0.6,G0,19.58916349531742
8.17,2.8,0.75,1.109,G8III,15.405790156711095
7.96,3.78,0.66,0.024,A0,15.847458999186127
9.57,3.59,1.22,0.579,F6V,17.345472242891596
8.66,37.6,2.02,1.197,K2V,21.535939224638305
8.26,2.09,1.11,1.526,M0,14.86073143055527
9.17,7.86,1.0,0.487,G5,18.647112730197037
7.96,2.91,0.61,-0.064,Ap...,15.279464944929536
10.08,22.78,1.2,0.964,M0,21.867768598715408
9.2,11.63,3.08,0.809,K0,19.52789857364224
9.21,3.97,1.4,0.533,F6V,17.203952533815578
8.43,5.22,0.97,0.376,F2,17.01835251501131
8.14,6.54,1.22,0.388,F2IV/V,17.217888741621337
9.68,-0.1,1.46,1.249,K2,9.68
9.6,5.24,1.42,0.083,B9,18.19665643491863
6.09,10.58,0.72,1.012,K0III,16.212428338495833
8.77,11.19,0.83,0.762,G5,19.01415043264175
8.88,3.96,1.03,1.043,K2,16.86847592962756
9.69,2.8,1.12,1.258,K3III:,16.925790156711095
8.84,2.79,1.5,0.4,F3V,16.068021016367986
9.01,1.43,0.91,1.06,G8III,14.78668018732531
10.4,4.29,1.75,0.474,F3/F5,18.562286460923623
9.06,3.25,0.91,0.834,G5III,16.61941680489437
9.31,9.35,1.26,0.539,F8V,19.16405805436259
5.33,13.67,1.47,0.003,A1Vn,16.00884257283911
5.55,14.67,1.72,-0.048,A0Vn,16.382150569216414
7.3,6.95,1.04,1.131,K0,16.50992402295057
8.97,15.81,1.16,0.644,G5,19.964659349661048
8.29,5.67,0.98,0.911,K1III/IV,17.057915294464532
9.58,15.62,1.53,0.749,G8V,20.548405147706404
8.3,10.9,1.14,0.501,F5V,18.48713248970312
10.68,-2.12,3.61,0.945,F9,17.311679304643757
8.28,4.03,0.91,0.148,A3V,16.306525230705546
6.35,21.87,1.03,0.383,F4V...,18.049243915188185
9.04,6.58,2.55,0.36,G0V,18.131129468069776
8.06,0.86,0.94,1.318,K2,12.732492256217839
8.51,5.78,1.43,0.36,A9V,17.319639192102645
8.21,9.43,0.97,0.543,F2,18.082558463686645
7.26,22.69,1.03,0.484,F6V,19.03917247942468
9.23,4.79,1.45,0.377,A9V,17.631677567072817
7.26,3.97,0.76,0.104,B8,15.253952533815575
7.64,4.44,0.94,0.33,F0,15.876914850573097
8.76,4.07,1.22,1.077,K1III,16.8079720461261
8.44,4.45,1.25,0.161,Ap...,16.681800054904656
9.35,3.0,1.2,0.151,A,16.73560627359831
9.79,-0.45,1.61,0.471,F3V,13.056062568876719
9.38,3.38,1.1,0.511,F3/F5V,17.024583501388275
8.08,5.59,1.21,1.068,K0,16.817059039432117
12.09,0.35,3.21,0.526,A7,14.810340221751378
8.13,2.71,1.15,1.089,K0III,15.29484645437203
8.96,3.62,1.78,1.022,K1III,16.75354285266583
10.16,22.32,2.12,1.078,K5,21.903470951327705
8.98,8.15,1.38,0.465,F5V,18.53578804369988
7.73,1.64,0.85,1.409,K3III,13.80421924023849
7.12,2.63,0.73,0.019,B3III,14.219778742448788
8.97,0.13,0.88,1.724,M1III:,9.539716761534185
9.5,12.72,1.35,0.603,G,20.022435556561973
3.32,16.46,22.22,0.885,G8IIIvar,14.402149154381256
5.58,5.48,0.68,0.009,A1V,14.273902792421845
7.31,3.69,0.78,1.345,K0,15.1451318307953
9.32,9.58,1.42,0.5,F7V,19.226827545392723
8.91,5.49,1.11,0.813,G6/G8V,17.607861722250462
6.84,8.83,0.79,1.0,G5,16.56980351788784
6.12,9.31,0.9,1.076,K1III,15.964748404906715
8.55,-0.47,1.07,0.931,G8II/III,11.910489289678587
7.41,7.53,0.82,0.398,F0,16.793974881003503
8.21,1.97,0.98,1.557,K5III,14.682331130807965
9.08,6.53,1.26,0.315,A9IV/V,18.154565906375367
6.28,5.6,0.81,1.308,K0,15.020940135031001
8.15,20.84,1.0,0.656,G0,19.74448857313743
8.46,1.92,1.19,1.411,K0,14.87650614351775
9.73,7.46,1.09,0.506,F7V,19.093694137363343
8.77,6.29,1.56,0.539,F7V,17.763253227226343
8.62,2.25,1.3,0.45,F4IV,15.380912590556811
8.73,12.62,1.79,0.5,F8,19.23529677454058
8.12,12.57,1.08,0.607,G2V,18.616676388429788
8.47,6.57,1.1,0.337,F0V,17.557826847798903
6.52,14.39,0.66,0.214,A5Vn,17.310303969683027
10.27,1.52,1.64,0.53,F8V,16.179217939723863
7.8,6.94,0.88,0.26,A5III/IVm..,17.006797352274273
8.2,13.56,1.04,0.606,F8,18.861298447655223
9.5,20.01,1.32,0.907,K1V,21.006235443181055
8.53,2.57,0.97,0.226,A0,15.579665616656472
8.17,4.33,0.8,1.127,K1IIICN...,16.35243948176683
6.61,5.23,0.78,0.137,A1V,15.20250844433637
10.78,1.78,5.84,0.45,sdF6,17.032100011544472
8.68,5.22,0.88,0.415,F0,17.26835251501131
8.62,2.53,1.08,0.877,G8III,15.63560260587909
7.59,5.78,0.75,0.106,A2,16.399639192102647
6.64,3.39,0.78,1.548,K4III,14.290998491015412
7.97,8.44,0.88,0.515,F5,17.601712233128275
10.05,4.5,2.13,0.557,F8,18.316062568876717
9.4,8.99,1.06,0.559,F6V,19.168798458666146
6.14,8.91,0.75,0.962,G8III,15.889388520184376
7.75,4.57,1.44,1.108,K0+...,16.049581000349253
8.45,2.74,1.11,1.093,K0III,15.638752814101938
9.59,1.31,1.48,1.062,K0,15.176356478278821
7.22,17.23,0.8,0.448,F6V,18.401426387240143
9.27,1.74,2.54,0.463,B5,15.472746241412999
6.93,15.31,0.93,0.301,F0,17.854875953491305
7.52,6.37,0.94,0.587,G0,16.540697161676754
9.26,1.94,1.16,0.083,A0,15.69900864965113
8.14,6.78,1.1,1.068,K1III,17.296148469335318
7.95,6.12,0.97,1.067,K0III-IV,16.883757110727807
9.18,2.16,1.2,0.193,A2,15.852268755754654
11.45,45.24,2.56,1.473,M3,24.727612981267086
7.7,8.94,1.01,0.314,A3,17.456687593979588
8.72,5.69,1.1,0.462,F2,17.49556133197536
8.69,1.04,1.35,1.533,K5,13.775166696493901
7.17,6.23,0.94,1.002,G8/K0III,16.14244023329585
8.2,9.29,2.02,0.4,F2,18.04007856996821
9.61,7.31,1.41,0.366,F0,18.929586884789302
9.16,0.98,1.17,1.187,K1/K2III,14.116130378462476
7.91,3.03,0.95,1.423,K5,15.317213142511525
8.84,33.98,1.07,0.925,K1V,21.496116872665134
8.83,2.53,1.14,1.123,K0,15.84560260587909
7.51,4.59,0.91,0.1,A2,15.819063427686306
7.77,7.56,1.08,0.856,G5V,17.162608977506032
7.59,3.82,0.62,1.341,K2III,15.500316814558543
8.38,2.92,0.71,0.123,A0,15.706914257242094
8.92,3.9,1.2,0.374,F5,16.875323035132496
7.97,10.04,1.05,0.216,A3,17.978668564045
6.87,4.65,0.68,0.002,A2V...,15.207264764449771
6.63,8.91,0.61,0.164,A2,16.379388520184374
10.27,9.49,1.85,0.542,F6/F7V,20.156331062136463
9.73,7.98,1.22,1.056,G8/K0III,19.24001445675365
7.86,3.24,1.08,1.386,K0,15.41272505103306
8.03,0.65,1.1,0.091,A0,12.094566783214276
8.56,2.42,0.88,1.347,K2/K3III,15.479076829902157
7.54,-0.2,0.84,1.476,G0Ia,9.045149978319905
6.41,10.26,0.67,1.188,K2III...,16.46573680387899
9.38,6.04,1.21,0.338,A9V,18.28518469310566
10.37,2.62,1.32,0.84,G5,17.461506456598727
8.75,3.57,1.2,0.224,A2,16.513341080560966
7.22,12.95,1.28,0.334,F2III,17.781348842086352
8.96,18.53,2.04,0.84,K0,20.29937709659449
9.26,1.4,1.37,1.15,K0,14.990640178391189
9.0,66.46,1.27,1.289,K7V,23.11280168471346
6.99,3.63,0.82,0.96,G5,14.789533125180562
7.57,8.67,0.84,0.528,F8V,17.26009548738105
8.78,0.64,1.29,1.427,K0,12.810899869919435
6.31,2.4,0.73,1.499,K0,13.21105620855803
7.64,7.05,0.79,0.092,A0,16.880945584956994
8.89,10.6,1.27,0.764,G0,19.01652932632385
7.02,20.28,1.29,0.56,F5+...,18.55533975330649
