,Vmag,Plx,e_Plx,B-V,SpType
4767,6.86,   6.50,  0.83, 0.897,G8III-IV
4768,6.91,  22.23,  0.64, 0.650,G1/G2V
4769,8.1,   8.78,  1.08, 0.410,F2V
4770,13.27,  -6.63,  3.80,      ,
4771,7.87,  13.85,  1.51, 0.558,F5
4772,7.66,   1.53,  0.99, 1.405,K3III
4773,9.09,   7.29,  1.21, 0.601,F5
4774,7.53,   1.32,  0.87, 1.570,K0
4775,9.09,   4.11,  1.26, 0.386,F
4776,8.93,   4.14,  1.24, 0.353,F0V
4777,8.78,   6.93,  1.71, 0.429,F5V
4778,9.5,   1.51,  1.35, 0.255,B9
4779,8.85,   5.93,  1.14, 0.516,F8
4780,8.47,   2.28,  1.00, 1.537,K5III
4781,7.87,   2.06,  1.09, 0.982,G5
4782,6.48,   3.54,  0.75, 1.099,G5
4783,8.79,   3.00,  1.34, 0.293,A5
4784,8.96,   7.52,  1.29, 0.574,F5
4785,6.67,   2.80,  1.06, 0.019,B9
4786,8.86,   2.90,  1.31, 1.138,K2
4787,8.91,   2.14,  1.06, 1.072,K0
4788,9.13,   1.79,  1.38, 1.259,K2
4789,7.76,   5.33,  0.71, 1.095,K1III
4790,6.61,  13.28,  0.79, 0.905,K0IIICNIV
4791,8.95,   8.28,  0.99, 0.473,F2
4792,7.22,   2.85,  0.85, 1.618,K2
4793,8.19,   5.84,  1.01, 1.085,K0
4794,8.85,   0.72,  1.31, 0.836,G5
4795,9.66,   3.53,  1.48, 0.470,F2V
4796,7.77,   4.14,  0.69, 0.399,F5
4797,6.47,  11.76,  0.87, 1.184,K2/K3III
4798,8.49,   6.95,  0.73, 0.456,F3/F5IV/V
4799,8.42,   1.43,  1.09, 1.218,K0
4800,7.75,   6.33,  0.99, 0.860,G0
4801,8.41,   5.88,  0.88, 0.341,F0V
4802,7.83,   7.81,  0.97, 0.954,G5
4803,7.94,  13.98,  0.87, 0.407,F3V
4804,8.94,   1.65,  1.04, 1.157,K5
4805,6.71,  13.94,  0.90, 0.783,G8IV
4806,8.9,   6.08,  1.00, 0.459,G0
4807,6.77,   1.79,  0.72, 0.280,A2
4808,7.73,  11.21,  0.90, 0.389,F5
4809,8.87,   2.95,  1.22, 1.300,K5
4810,10.14,   2.50,  1.63, 0.516,F5/F6V
4811,8.23,  16.58,  1.07, 0.626,G5V
4812,8.19,   4.73,  0.91, 0.420,F0
4813,8.12,   5.94,  1.05, 1.172,K1III
4814,8.39,   2.57,  0.90, 1.050,K0IV
4815,9.75,   4.53,  1.55, 0.354,F0V
4816,8.03,   6.42,  0.92, 0.469,F8
4817,8.7,   4.63,  0.82, 0.877,G8IV
4818,8.6,   5.09,  1.37, 0.448,F3V
4819,8.9,   4.39,  1.91, 0.200,F8
4820,10.49,  32.06,  2.18, 1.226,K5V
4821,7.6,   9.44,  1.08, 0.492,F6V
4822,8.44,   9.13,  1.12, 0.289,F0V
4823,8.98,   1.08,  1.13, 1.257,G8/K0III:
4824,8.12,   4.45,  0.85, 0.436,F0III
4825,6.12,   8.86,  0.55, 0.935,G8III
4826,8.33,  10.90,  0.94, 0.598,G0/G1V
4827,9.61,   6.01,  1.33, 0.523,F7V
4828,8.27,  12.50,  1.00, 0.577,G3V
4829,7.55,   4.50,  0.89, 1.088,G5
4830,6.71,   6.94,  0.71, 1.109,K1III
4831,9.07,   6.72,  1.03, 0.543,F6V
4832,8.1,   3.13,  1.06, 1.107,K0III
4833,8.81,   5.55,  1.17, 0.511,F6/F7V
4834,8.64,   2.92,  1.12, 1.044,G5
4835,7.79,   5.54,  0.82, 0.334,F2V
4836,9.13,   2.03,  1.14, 1.206,K2
4837,8.82,   6.68,  1.25, 0.525,G0
4838,7.79,   2.20,  1.13, 1.357,K0
4839,6.9,   4.84,  0.54, 0.010,G8III
4840,6.48,   5.16,  0.80, 0.122,A3V
4841,10.06,  46.22,  4.48, 1.365,K7V
4842,9.55,   0.38,  1.30, 1.389,K5
4843,8.62,   2.91,  0.96, 0.918,G8III/IV
4844,9.66,  11.50,  2.29, 0.690,G5V
4845,8.16,  46.61,  1.61, 1.008,K2
4846,7.79,   3.69,  0.92, 1.157,K1III
4847,9.93,   0.59,  1.48, 0.094,A0
4848,5.5,  14.39,  0.73, 0.083,A1/A2IV
4849,9.0,  -0.32,  1.35,-0.033,A0
4850,9.34,   0.70,  1.37, 1.171,K2
4851,7.91,  31.35,  1.28, 0.799,K0V
4852,8.49,   7.71,  1.05, 0.450,F8
4853,9.98, 122.77,  1.23, 1.501,M3.5e
4854,7.08,   9.25,  0.81, 0.287,F0
4855,9.95,   6.35,  1.83, 0.820,G0
4856,10.08,   7.65,  1.60, 0.831,G5
4857,9.38,   2.68,  1.17, 0.068,A2V
4858,8.37,   1.17,  1.13, 0.282,A2
4859,7.92,   6.85,  1.02, 0.305,A5
4860,8.46,  15.30,  0.88, 0.619,G1V
4861,8.55,   5.05,  1.14, 0.302,A5
4862,8.91,   0.22,  1.13, 1.002,G5
4863,9.02,   3.68,  1.21, 0.960,G8IV
4864,6.88,  22.39,  0.87, 0.448,F7V
4865,7.24,   1.96,  0.57, 1.390,K2IICNp...
4866,7.83,   1.92,  0.86, 1.481,K2V
4867,9.37,   6.49,  1.73, 0.772,G8IV/V
4868,9.56,  99.44,  1.39, 1.463,K5V...
4869,8.58,   5.13,  0.91, 1.290,K3III
4870,9.84,  22.04,  1.68, 0.919,K2V
4871,7.39,   1.54,  0.84, 0.033,A0
4872,9.93,  18.15,  1.89, 0.859,
4873,9.64,   5.79,  1.32, 0.519,F6V
4874,6.83,  16.55,  0.78, 0.498,F5
4875,6.25,   4.06,  0.60, 1.634,M2III
4876,8.69,   2.19,  0.80, 1.126,K0/K1III
4877,8.57,   2.27,  1.08, 0.818,G5
4878,7.7,  20.35,  0.78, 0.591,G0V
4879,9.07,   1.75,  1.24, 1.705,K5
4880,9.4,   5.37,  1.25, 0.432,F5
4881,9.13,   6.73,  1.26, 0.526,F5V
4882,9.52,  11.43,  1.69, 0.770,G5
4883,8.54,   6.06,  1.10, 0.397,F0
4884,8.02,   4.70,  1.92, 0.070,A0
4885,5.5,   7.87,  0.68,-0.043,B9.5V
4886,5.39,  13.86,  0.61, 0.900,G8III
4887,7.83,   1.23,  1.04,-0.018,A0
4888,8.52,  16.88,  1.07, 0.572,G5V
4889,7.21,  14.49,  0.94, 0.406,F3V
4890,7.25,   3.65,  0.77, 0.914,K0
4891,10.31,  12.67,  1.28, 0.739,
4892,9.4,   9.99,  1.31, 0.598,G5V
4893,8.8,   2.51,  1.09, 0.170,B8II
4894,8.19,   3.68,  0.88, 1.138,K1IIICN...
4895,10.81,  24.14,  2.69, 1.470,M0
4896,8.4,   2.56,  1.05, 1.019,G8III/IV
4897,7.8,   2.77,  0.99, 1.208,K2III
4898,6.84,   0.89,  1.30,-0.019,B5
4899,5.95,   9.49,  0.86, 0.161,A5m
4900,8.29,  14.90,  0.85, 0.543,F8
4901,8.49,   2.80,  1.00, 1.005,G8III
4902,4.27,  17.14,  0.81, 0.952,K0III
4903,7.67,  38.73,  0.78, 0.756,G5
4904,8.16,   0.89,  1.00, 1.565,K5
4905,8.52,  18.29,  1.35, 0.649,G0
4906,8.61,   2.90,  1.10, 1.337,K3III
4907,6.46,   9.68,  1.01, 0.248,A9V
4908,8.56,   2.67,  1.22, 1.040,K0
4909,8.44,   2.82,  1.02,-0.004,A0
4910,5.4,   7.95,  0.86, 1.106,K0III-IV
4911,8.05,   2.55,  0.91, 1.078,K0
4912,8.03,   3.00,  0.75, 0.115,A0
4913,8.95,   8.88,  1.23, 0.625,G2V
4914,7.39,   0.43,  0.93, 1.530,M0
4915,8.09,   1.04,  0.96, 0.013,B5
4916,9.53,   2.71,  1.28, 1.387,K2V:
4917,9.59,   3.26,  1.37, 0.407,F2V
4918,8.75,   2.05,  1.45, 0.944,G5
4919,9.05,   0.92,  0.92, 1.588,K5
4920,8.98,   0.78,  1.40, 1.600,K5/M0III
4921,8.68,   9.91,  1.15, 0.450,F2V
4922,7.96,   4.48,  0.69, 1.070,G8/K0III
4923,9.1,   2.01,  1.08, 0.081,A0
4924,11.36,  61.23,  5.26, 1.590,M
4925,9.41,   3.28,  1.50, 1.066,K2
4926,7.99,   3.39,  1.31, 0.983,G8IV
4927,9.01,  -1.80,  1.34, 1.547,M0
4928,6.28,   8.93,  0.90, 0.932,G8IIICN...
4929,6.81,  12.44,  1.11, 0.480,F5V
4930,8.09,   1.94,  1.05, 0.821,G:w...
4931,6.99,   1.98,  0.75, 1.590,M3III
4932,10.15,   1.32,  1.42, 0.351,
4933,9.29,   5.16,  1.35, 0.400,F0V
4934,7.69,   3.98,  0.96, 1.143,G5
4935,7.53,   2.76,  0.86, 1.468,K3III
4936,9.25,   1.18,  1.17, 1.403,K3III
4937,9.56,  10.04,  1.56, 0.528,F8
4938,8.4,   3.24,  1.51, 0.379,F5
4939,10.54,   3.24,  2.12, 0.540,G0
4940,8.85,   3.69,  1.01, 0.388,F5
4941,7.96,  -0.24,  0.93, 1.591,K2
4942,8.96,   0.66,  1.23, 1.655,K5
4943,9.08,   5.41,  1.20, 0.333,A3
4944,10.38,  11.32,  1.73, 0.820,
4945,8.67,   3.43,  1.19, 1.015,K0
4946,8.03,   3.64,  0.98, 0.034,A0
4947,9.2,  11.52,  1.55, 0.665,G3V
4948,7.8,  11.18,  0.99, 0.775,G0
4949,9.08,   3.46,  1.27, 0.063,A0
4950,9.75,  15.12,  1.49, 0.814,G8IV
4951,9.27,   6.03,  1.22, 0.829,B8
4952,9.01,   2.09,  1.23, 1.960,K5V
4953,8.16,   9.03,  1.02, 0.418,F0
4954,8.86,  14.08,  1.18, 0.552,G2Vw...
4955,8.98,   3.54,  1.30, 0.569,F7V
4956,8.6,   2.45,  1.22, 0.741,G5IIIm
4957,5.92,   2.16,  0.87, 0.512,F0II
4958,6.75,   2.80,  0.73, 1.688,K5
4959,8.14,   9.72,  1.32, 0.560,G0
4960,11.62,   9.66, 17.61, 1.124,K:
4961,6.74,   6.67,  0.56, 0.246,F5
4962,8.44,  22.56,  0.73, 0.600,G5
4963,10.89,  31.96,  2.22, 1.137,
4964,7.74,   4.51,  1.07, 0.337,A5
4965,10.02,   5.80,  1.46, 0.787,K0
4966,8.69,   0.20,  1.00,-0.157,F5
4967,8.22,   3.08,  2.82, 0.064,A0
4968,8.84,   8.04,  1.01, 0.412,F3V
4969,8.54,   1.40,  0.69,-0.035,B8III
4970,8.78,  11.36,  5.31, 0.529,F5/F6V
4971,8.86,   1.80,  1.21, 1.207,K2
4972,9.44,   8.70,  2.87, 0.714,G5
4973,8.26,   4.01,  1.09, 1.194,K2III/IV
4974,7.07,   6.93,  1.14, 0.094,A0
4975,10.16,   3.25,  1.61, 0.692,G1
4976,6.06,  17.66,  0.72, 0.271,F1V
4977,9.11,  17.37,  1.27, 0.577,G3V
4978,8.1,   3.67,  0.89, 1.050,G5
4979,6.82,   1.13,  0.79,-0.055,B2IV-V
4980,9.75,   5.84,  1.26, 0.498,F8
4981,7.03,   5.43,  1.12, 0.147,A3III/IV
4982,10.21,  -0.78,  1.70, 0.912,G2
4983,7.69,   6.32,  0.95, 1.238,K0
4984,8.42,   2.18,  1.09, 0.979,G5
4985,7.19,  16.66,  0.89, 0.442,F8
4986,7.2,   2.67,  1.03, 0.232,A3
4987,8.71,   1.47,  1.00, 1.259,K2/K3III
4988,8.93,   2.28,  1.26, 1.071,K0
4989,9.01,   2.93,  1.29, 0.101,A2V
4990,7.92,   4.14,  1.01, 1.120,G5
4991,9.24,   1.13,  1.21,-0.062,B9V
4992,9.19,   0.18,  1.28, 1.647,K5
4993,7.28,  11.96,  0.84, 0.446,F5V
4994,5.99,   3.29,  0.69, 1.447,K2
4995,9.1,   2.83,  1.15, 0.356,F0
4996,8.26,   0.72,  1.04, 0.470,B1Ibp
4997,9.35,   2.90,  1.42, 0.042,A0
4998,7.14,   2.38,  0.82, 1.655,M3III
4999,9.9,   3.39,  1.57, 0.499,F5V
5000,10.25,  16.28,  1.76, 0.764,G5IV
5001,7.74,   4.57,  0.92, 1.032,K0
5002,8.78,   6.96,  1.14, 0.432,F5V
5003,8.26,   4.64,  2.05, 0.960,G2V SB
5004,9.4,   2.55,  1.08, 0.308,A0
5005,8.75,   6.82,  1.12, 0.851,G8V
5006,9.33,   5.81,  1.28, 0.531,F5V
5007,10.6,  10.84,  3.57, 0.774,
5008,8.24,  13.66,  0.92, 0.489,F8
5009,7.04,   5.52,  0.75, 1.017,G8II-III
5010,9.25,   8.33,  1.14, 0.698,G3V
5011,8.61,   0.99,  1.03, 0.444,B8II
5012,6.84,  16.06,  0.71, 0.528,G0
5013,8.18,   3.13,  0.89, 1.486,K5
5014,11.56,  17.76,  2.65, 1.610,M0
5015,8.97,   6.02,  1.26, 0.481,F5V
5016,8.92,   6.21,  1.18, 0.843,G8III
5017,5.83,  12.47,  0.63, 0.569,F6V
5018,8.96,   5.20,  1.26, 0.611,G2V
5019,12.06,   9.30,  3.70,-0.242,B
5020,8.23,   7.28,  0.98, 0.337,F2
5021,8.51,   8.56,  1.02, 0.540,G0
5022,6.84,   2.47,  0.73, 1.596,M1III
5023,9.78,  38.99,  1.88, 1.194,K4/K5V
5024,7.97,   9.31,  1.04, 0.321,F0
5025,7.54,   4.23,  0.82, 0.086,B9
5026,9.96,  -0.79,  1.91, 0.388,F0V
5027,9.15,  25.48,  1.14, 0.801,G5
5028,8.73,   3.91,  1.12, 0.563,F8
5029,11.01,   8.51,  2.31, 1.019,
5030,6.2,  23.82,  0.87, 0.443,F7IV-V
5031,8.53,   7.56,  1.14, 0.307,A2
5032,8.75,   4.47,  1.83, 0.505,F5/F6V
5033,8.91,   2.73,  1.14, 1.095,G5
5034,8.95,   1.64,  0.91, 1.592,M2/M3III
5035,8.17,   3.41,  0.78, 1.014,G8
5036,8.79,   6.71,  1.16, 0.831,G5
5037,10.02,  34.39,  1.68, 1.280,K5
5038,6.44,   6.30,  2.07, 1.071,K0III
5039,7.61,   3.45,  0.66, 1.185,K1/K2III
5040,9.58,   4.86,  3.34, 1.011,K0
5041,6.77,  11.85,  0.88, 0.328,F0Vn
5042,8.24,  11.53,  1.14, 0.520,F6V
5043,8.44,  10.40,  0.98, 0.538,F8
5044,8.21,   3.75,  0.99, 1.151,K0
5045,9.52,   3.61,  1.37, 0.448,F8
5046,8.83,   2.37,  1.62, 1.083,G8III/IV
5047,9.42,   6.37,  2.74, 0.519,F6V
5048,8.27,   1.73,  1.11, 0.956,G5
5049,9.49,   2.34,  1.22, 1.015,K0
5050,7.72,  24.80,  0.89, 0.613,G3IV
5051,7.07,   1.68,  0.86, 1.607,K2
5052,9.46,   2.10,  1.54, 0.580,G2V
5053,10.71,   4.07,  1.91, 0.665,G0
5054,9.35,   1.11,  1.11, 1.022,K0III
5055,9.19,   7.22,  1.27, 0.596,G3V
5056,7.21,   7.72,  0.84, 1.195,K0
5057,8.97,  13.64,  1.30, 0.564,F7V
5058,6.53,   3.06,  0.76,-0.081,B3V
5059,8.47,   7.03,  1.06, 0.402,F2V
5060,8.99,   6.49,  1.50, 0.450,F2
5061,9.4,   6.30,  1.42, 0.510,F8V
5062,8.19,   2.95,  0.66, 0.073,A1V
5063,7.92,   3.83,  0.83, 0.186,A0
5064,7.5,   8.63,  1.04, 0.488,F5/F6V
5065,8.98,   1.85,  1.41, 1.217,K1III
5066,6.82,   2.09,  0.61, 0.044,A0
5067,7.7,   8.57,  0.96, 1.084,G5
5068,8.62,   4.02,  1.13, 1.018,G5
5069,7.93,  13.07,  1.10, 0.543,F8
5070,6.03,   4.52,  0.87, 1.525,K5III
5071,7.2,   3.12,  0.91, 1.673,M2III
5072,10.44,   1.95,  1.82, 0.486,F7
5073,9.81,   2.02,  1.11, 0.312,A0
5074,7.77,  10.25,  0.91, 0.403,F5
5075,10.79,   0.55,  2.43, 0.594,G0
5076,7.3,   3.27,  1.06, 1.078,K0III
5077,5.64,  18.28,  0.79, 0.420,F4II-III
5078,7.37,   4.22,  0.67, 1.086,K3III
5079,8.7,   4.38,  1.24, 1.100,K0
5080,7.86,   3.81,  0.92, 0.941,G8III
5081,7.37,   4.73,  0.58, 1.080,K0III
5082,8.09,   8.42,  0.83, 0.453,F5V
5083,9.22,   3.83,  1.45, 0.864,G6IV
5084,9.65,   3.68,  1.44, 0.975,K0
5085,9.02,   0.78,  1.27, 1.053,K0
5086,8.91,   3.21,  1.35, 0.370,F0V
5087,7.44,   2.43,  0.89, 1.567,M...
5088,10.59,   0.57,  1.64, 0.000,A0
5089,8.58,   2.87,  1.95, 0.233,A2/A3m...
5090,7.82,   2.43,  0.71, 0.182,A5V
5091,11.23,  10.74,  2.25, 1.106,K4.5
5092,9.19,   2.19,  1.34, 0.282,A9V
5093,9.3,  10.02,  1.27, 0.449,F5Vw...
5094,9.78,   9.26,  1.19, 0.617,G3/G5V
5095,7.18,  18.21,  0.82, 0.421,F3V
5096,11.16,   5.46,  6.54, 0.264,WN2
5097,8.82,   6.65,  1.12, 1.199,K0
5098,8.76,   2.22,  1.13, 1.243,G5
5099,7.92,   2.03,  1.02, 1.134,G5
5100,7.65,   1.89,  0.99, 0.785,G3V
5101,7.89,   1.59,  1.03, 1.375,K2III
5102,8.29,  18.19,  0.98, 0.600,G0
5103,8.17,   2.80,  0.75, 1.109,G8III
5104,7.96,   3.78,  0.66, 0.024,A0
5105,9.57,   3.59,  1.22, 0.579,F6V
5106,8.66,  37.60,  2.02, 1.197,K2V
5107,8.26,   2.09,  1.11, 1.526,M0
5108,9.17,   7.86,  1.00, 0.487,G5
5109,7.96,   2.91,  0.61,-0.064,Ap...
5110,10.08,  22.78,  1.20, 0.964,M0
5111,9.2,  11.63,  3.08, 0.809,K0
5112,9.21,   3.97,  1.40, 0.533,F6V
5113,8.43,   5.22,  0.97, 0.376,F2
5114,8.14,   6.54,  1.22, 0.388,F2IV/V
5115,9.68,  -0.10,  1.46, 1.249,K2
5116,9.6,   5.24,  1.42, 0.083,B9
5117,6.09,  10.58,  0.72, 1.012,K0III
5118,8.77,  11.19,  0.83, 0.762,G5
5119,8.88,   3.96,  1.03, 1.043,K2
5120,10.37,  11.16,  1.76, 0.683,
5121,9.69,   2.80,  1.12, 1.258,K3III:
5122,8.84,   2.79,  1.50, 0.400,F3V
5123,9.01,   1.43,  0.91, 1.060,G8III
5124,10.4,   4.29,  1.75, 0.474,F3/F5
5125,9.06,   3.25,  0.91, 0.834,G5III
5126,9.31,   9.35,  1.26, 0.539,F8V
5127,5.33,  13.67,  1.47, 0.003,A1Vn
5128,5.55,  14.67,  1.72,-0.048,A0Vn
5129,7.3,   6.95,  1.04, 1.131,K0
5130,8.97,  15.81,  1.16, 0.644,G5
5131,8.29,   5.67,  0.98, 0.911,K1III/IV
5132,9.58,  15.62,  1.53, 0.749,G8V
5133,8.3,  10.90,  1.14, 0.501,F5V
5134,10.68,  -2.12,  3.61, 0.945,F9
5135,8.28,   4.03,  0.91, 0.148,A3V
5136,6.35,  21.87,  1.03, 0.383,F4V...
5137,9.04,   6.58,  2.55, 0.360,G0V
5138,8.06,   0.86,  0.94, 1.318,K2
5139,8.51,   5.78,  1.43, 0.360,A9V
5140,8.21,   9.43,  0.97, 0.543,F2
5141,7.26,  22.69,  1.03, 0.484,F6V
5142,9.23,   4.79,  1.45, 0.377,A9V
5143,7.26,   3.97,  0.76, 0.104,B8
5144,7.64,   4.44,  0.94, 0.330,F0
5145,8.76,   4.07,  1.22, 1.077,K1III
5146,8.44,   4.45,  1.25, 0.161,Ap...
5147,9.35,   3.00,  1.20, 0.151,A
5148,9.79,  -0.45,  1.61, 0.471,F3V
5149,9.38,   3.38,  1.10, 0.511,F3/F5V
5150,8.08,   5.59,  1.21, 1.068,K0
5151,12.09,   0.35,  3.21, 0.526,A7
5152,8.13,   2.71,  1.15, 1.089,K0III
5153,8.96,   3.62,  1.78, 1.022,K1III
5154,10.16,  22.32,  2.12, 1.078,K5
5155,8.98,   8.15,  1.38, 0.465,F5V
5156,7.73,   1.64,  0.85, 1.409,K3III
5157,7.12,   2.63,  0.73, 0.019,B3III
5158,8.97,   0.13,  0.88, 1.724,M1III:
5159,9.5,  12.72,  1.35, 0.603,G
5160,3.32,  16.46, 22.22, 0.885,G8IIIvar
5161,5.58,   5.48,  0.68, 0.009,A1V
5162,7.31,   3.69,  0.78, 1.345,K0
5163,9.32,   9.58,  1.42, 0.500,F7V
5164,8.91,   5.49,  1.11, 0.813,G6/G8V
5165,6.84,   8.83,  0.79, 1.000,G5
5166,6.12,   9.31,  0.90, 1.076,K1III
5167,8.55,  -0.47,  1.07, 0.931,G8II/III
5168,7.41,   7.53,  0.82, 0.398,F0
5169,8.21,   1.97,  0.98, 1.557,K5III
5170,9.08,   6.53,  1.26, 0.315,A9IV/V
5171,6.28,   5.60,  0.81, 1.308,K0
5172,8.15,  20.84,  1.00, 0.656,G0
5173,8.46,   1.92,  1.19, 1.411,K0
5174,11.2,  14.48,  1.89, 1.035,
5175,9.73,   7.46,  1.09, 0.506,F7V
5176,8.77,   6.29,  1.56, 0.539,F7V
5177,8.62,   2.25,  1.30, 0.450,F4IV
5178,8.73,  12.62,  1.79, 0.500,F8
5179,8.12,  12.57,  1.08, 0.607,G2V
5180,10.12,  15.45,  1.51, 1.029,
5181,8.47,   6.57,  1.10, 0.337,F0V
5182,6.52,  14.39,  0.66, 0.214,A5Vn
5183,10.27,   1.52,  1.64, 0.530,F8V
5184,7.8,   6.94,  0.88, 0.260,A5III/IVm..
5185,8.2,  13.56,  1.04, 0.606,F8
5186,9.5,  20.01,  1.32, 0.907,K1V
5187,8.53,   2.57,  0.97, 0.226,A0
5188,8.17,   4.33,  0.80, 1.127,K1IIICN...
5189,6.61,   5.23,  0.78, 0.137,A1V
5190,10.78,   1.78,  5.84, 0.450,sdF6
5191,8.68,   5.22,  0.88, 0.415,F0
5192,8.62,   2.53,  1.08, 0.877,G8III
5193,7.59,   5.78,  0.75, 0.106,A2
5194,6.64,   3.39,  0.78, 1.548,K4III
5195,7.97,   8.44,  0.88, 0.515,F5
5196,10.05,   4.50,  2.13, 0.557,F8
5197,9.4,   8.99,  1.06, 0.559,F6V
5198,6.14,   8.91,  0.75, 0.962,G8III
5199,7.75,   4.57,  1.44, 1.108,K0+...
5200,8.45,   2.74,  1.11, 1.093,K0III
5201,9.59,   1.31,  1.48, 1.062,K0
5202,7.22,  17.23,  0.80, 0.448,F6V
5203,9.27,   1.74,  2.54, 0.463,B5
5204,6.93,  15.31,  0.93, 0.301,F0
5205,7.52,   6.37,  0.94, 0.587,G0
5206,9.26,   1.94,  1.16, 0.083,A0
5207,8.14,   6.78,  1.10, 1.068,K1III
5208,7.95,   6.12,  0.97, 1.067,K0III-IV
5209,9.18,   2.16,  1.20, 0.193,A2
5210,11.45,  45.24,  2.56, 1.473,M3
5211,7.7,   8.94,  1.01, 0.314,A3
5212,8.72,   5.69,  1.10, 0.462,F2
5213,8.69,   1.04,  1.35, 1.533,K5
5214,7.17,   6.23,  0.94, 1.002,G8/K0III
5215,8.2,   9.29,  2.02, 0.400,F2
5216,9.61,   7.31,  1.41, 0.366,F0
5217,9.16,   0.98,  1.17, 1.187,K1/K2III
5218,7.91,   3.03,  0.95, 1.423,K5
5219,8.84,  33.98,  1.07, 0.925,K1V
5220,8.83,   2.53,  1.14, 1.123,K0
5221,7.51,   4.59,  0.91, 0.100,A2
5222,7.77,   7.56,  1.08, 0.856,G5V
5223,7.59,   3.82,  0.62, 1.341,K2III
5224,8.38,   2.92,  0.71, 0.123,A0
5225,8.92,   3.90,  1.20, 0.374,F5
5226,7.97,  10.04,  1.05, 0.216,A3
5227,6.87,   4.65,  0.68, 0.002,A2V...
5228,6.63,   8.91,  0.61, 0.164,A2
5229,10.27,   9.49,  1.85, 0.542,F6/F7V
5230,9.73,   7.98,  1.22, 1.056,G8/K0III
5231,7.86,   3.24,  1.08, 1.386,K0
5232,8.03,   0.65,  1.10, 0.091,A0
5233,8.56,   2.42,  0.88, 1.347,K2/K3III
5234,7.54,  -0.20,  0.84, 1.476,G0Ia
5235,6.41,  10.26,  0.67, 1.188,K2III...
5236,9.38,   6.04,  1.21, 0.338,A9V
5237,10.37,   2.62,  1.32, 0.840,G5
5238,8.75,   3.57,  1.20, 0.224,A2
5239,7.22,  12.95,  1.28, 0.334,F2III
5240,8.96,  18.53,  2.04, 0.840,K0
5241,9.26,   1.40,  1.37, 1.150,K0
5242,9.0,  66.46,  1.27, 1.289,K7V
5243,6.99,   3.63,  0.82, 0.960,G5
5244,7.57,   8.67,  0.84, 0.528,F8V
5245,8.78,   0.64,  1.29, 1.427,K0
5246,6.31,   2.40,  0.73, 1.499,K0
5247,7.64,   7.05,  0.79, 0.092,A0
5248,8.89,  10.60,  1.27, 0.764,G0
5249,10.92,   1.05, 12.73, 1.087,
5250,7.02,  20.28,  1.29, 0.560,F5+...
5251,7.48,   2.08,  1.10, 1.185,K1III
5252,8.65,   6.57,  1.05, 0.419,F2
5253,6.36,  13.96,  0.90, 0.238,A3III
5254,8.98,   2.11,  1.19, 1.105,K0
5255,10.66,  34.85,  2.20, 1.396,
5256,9.33,   1.05, 12.73, 1.364,M0
5257,6.81,   5.92,  0.87,-0.031,A0
5258,8.71,   1.28,  1.11, 1.128,K2
5259,8.81,   9.75,  1.52, 0.679,G2V
5260,7.48,   4.18,  0.92, 1.437,K0
5261,11.43,  20.54,  1.50, 1.540,M0
5262,10.27,  -1.88,  1.24, 0.099,B8Iab:e
5263,5.36,  11.68,  0.50, 0.884,G5III
5264,7.26,  12.19,  0.81, 0.403,F5
5265,7.14,   3.67,  0.77,-0.037,B9
5266,8.09,  11.11,  1.00, 0.417,F5
5267,9.48,   5.77,  1.31, 0.480,F2
5268,10.58,  21.01,  1.61, 1.009,K5
5269,8.13,   2.08,  0.70, 1.238,K2III
5270,8.0,   0.77,  1.09, 1.605,K5
5271,7.24,  19.97,  0.85, 0.541,F5
5272,9.05,   6.92,  1.22, 0.446,F8
5273,8.73,   1.18,  0.82, 1.349,K2
5274,8.97,   2.83,  1.32, 1.158,K0
5275,7.01,  29.65,  0.71, 0.567,F8V
5276,9.31,   2.40,  1.19, 1.370,K0
5277,10.27,   3.21,  1.75, 0.238,F0V
5278,9.16,   1.13,  1.16, 1.478,M0
5279,9.32,   0.76,  1.32, 0.395,F0V
5280,8.44,   3.53,  1.01, 1.194,G5
5281,8.41,  48.20,  1.06, 1.122,K4V
5282,7.97,   1.52,  1.08, 1.077,G8III
5283,10.28,   1.16,  1.57, 0.891,G0
5284,8.28,   0.98,  1.07, 0.944,G8III/IV
5285,8.53,   4.41,  1.09, 0.280,A2
5286,7.93,  14.15,  1.45, 0.775,G8V
5287,8.32,   5.34,  1.07, 0.448,F3/F5IV/V
5288,8.87,   2.78,  1.14, 1.188,K0
5289,7.71,   1.75,  1.01, 1.329,K0
5290,9.26,  12.39,  1.45, 0.589,G1V
5291,5.71,  20.97,  0.66, 0.446,F7IV
5292,9.31,   3.42,  1.70, 0.487,F5
5293,7.26,   5.39,  0.80, 0.032,A2
5294,8.71,   5.93,  0.98, 1.141,K0III
5295,5.21,  16.48,  0.61, 0.159,A3V
5296,8.45,  18.18,  0.96, 0.662,G0
5297,8.32,   9.71,  0.85, 0.591,G2V
5298,7.41,   4.68,  2.28, 1.190,K2p...
5299,8.03,  16.81,  1.01, 0.725,G5III
5300,9.7,  10.31,  2.72, 0.716,G8V
5301,9.34,   9.42,  1.10, 0.645,G3V
5302,8.56,   3.36,  1.08, 0.100,B8III
5303,9.72,   4.92,  2.96, 0.914,G8IV/V
5304,7.69,   7.91,  0.98, 0.387,F0
5305,5.56,  20.23,  0.81, 0.121,A3V
